"STFIPS","YEAR","statename","Nad","Nyy","Noy","Nadcj","Nyycj","Noycj"
1,2008,"Alabama",966,564,794,774,424,545
1,2009,"Alabama",1229,862,1160,1015,664,839
1,2010,"Alabama",1425,754,1118,1210,563,781
1,2011,"Alabama",744,211,288,666,148,176
1,2012,"Alabama",766,251,348,634,177,214
1,2013,"Alabama",717,241,408,544,157,276
1,2014,"Alabama",551,213,357,403,132,244
1,2015,"Alabama",731,264,398,528,182,264
1,2016,"Alabama",779,264,446,539,184,313
1,2017,"Alabama",705,267,448,477,180,287
1,2018,"Alabama",866,387,586,572,269,398
1,2019,"Alabama",979,355,480,678,244,300
1,2020,"Alabama",750,233,427,544,140,240
2,2008,"Alaska",213,66,42,122,48,28
2,2009,"Alaska",243,62,61,137,47,31
2,2010,"Alaska",232,76,58,128,30,29
2,2011,"Alaska",258,84,58,118,39,27
2,2012,"Alaska",197,60,68,90,31,37
2,2013,"Alaska",200,67,75,95,44,41
2,2014,"Alaska",179,81,88,72,32,50
2,2015,"Alaska",177,80,73,87,39,35
2,2016,"Alaska",179,61,95,80,25,50
2,2017,"Alaska",142,56,70,60,16,39
2,2018,"Alaska",167,50,56,77,23,26
2,2019,"Alaska",126,39,50,44,12,21
2,2020,"Alaska",74,17,39,15,5,10
4,2008,"Arizona",36,435,480,15,191,257
4,2009,"Arizona",40,503,559,16,235,251
4,2010,"Arizona",176,1027,1168,56,336,355
4,2011,"Arizona",264,898,1072,64,278,366
4,2012,"Arizona",178,735,927,36,223,302
4,2013,"Arizona",237,593,673,36,142,210
4,2014,"Arizona",172,493,752,39,90,125
4,2015,"Arizona",130,524,829,28,104,152
4,2016,"Arizona",209,677,943,38,134,206
4,2017,"Arizona",206,731,1051,38,137,263
4,2018,"Arizona",45,1616,2198,9,361,421
4,2019,"Arizona",5,629,843,2,147,181
4,2020,"Arizona",NA,120,225,NA,28,78
5,2008,"Arkansas",1113,688,1014,873,261,374
5,2009,"Arkansas",1027,584,797,613,309,334
5,2010,"Arkansas",576,342,514,376,177,220
5,2011,"Arkansas",444,281,417,267,161,204
5,2012,"Arkansas",427,220,357,272,104,139
5,2013,"Arkansas",296,189,318,193,102,115
5,2014,"Arkansas",266,124,244,116,41,81
5,2015,"Arkansas",301,180,369,159,71,136
5,2016,"Arkansas",443,186,380,225,71,136
5,2017,"Arkansas",741,193,312,347,72,125
5,2018,"Arkansas",688,199,290,387,77,120
5,2019,"Arkansas",345,156,322,200,70,198
5,2020,"Arkansas",258,110,254,113,60,143
6,2008,"California",16583,4125,3942,5606,2299,2645
6,2009,"California",17416,4058,3488,5706,1981,2191
6,2010,"California",16793,3597,3029,5151,1645,1793
6,2011,"California",18290,3468,2879,5052,1371,1698
6,2012,"California",18224,3452,2764,4474,1330,1628
6,2013,"California",15069,3126,2826,4081,1325,1738
6,2014,"California",10870,2268,2656,3509,1092,1685
6,2015,"California",9600,2110,2489,3221,1035,1542
6,2016,"California",8595,2094,2376,2839,1073,1482
6,2017,"California",15285,3349,3858,4361,1696,2305
6,2018,"California",7422,1564,1927,2051,768,934
6,2019,"California",6294,1230,1513,1734,559,601
6,2020,"California",3387,888,1047,1065,337,360
8,2008,"Colorado",1949,897,1110,874,568,743
8,2009,"Colorado",2068,1008,1185,873,661,759
8,2010,"Colorado",2116,940,1229,927,584,832
8,2011,"Colorado",1805,774,1079,811,531,757
8,2012,"Colorado",1674,840,1186,684,550,861
8,2013,"Colorado",1443,722,1102,649,470,772
8,2014,"Colorado",1368,624,1223,560,400,867
8,2015,"Colorado",1336,651,1157,583,377,769
8,2016,"Colorado",1401,598,963,665,348,605
8,2017,"Colorado",1277,618,836,554,338,548
8,2018,"Colorado",1192,581,812,504,339,563
8,2019,"Colorado",1124,582,722,502,326,471
8,2020,"Colorado",796,444,585,294,211,323
9,2008,"Connecticut",474,1039,1094,174,478,515
9,2009,"Connecticut",495,1120,1283,206,592,639
9,2010,"Connecticut",500,1418,1797,186,730,890
9,2011,"Connecticut",304,1282,1879,141,809,1047
9,2012,"Connecticut",235,1239,1737,100,791,1044
9,2013,"Connecticut",108,949,1683,38,536,918
9,2014,"Connecticut",73,931,1885,29,469,1089
9,2015,"Connecticut",73,966,1825,22,474,966
9,2016,"Connecticut",38,934,1756,17,392,880
9,2017,"Connecticut",NA,980,1638,NA,392,768
9,2018,"Connecticut",NA,803,1475,NA,333,654
9,2019,"Connecticut",1,683,1210,1,288,622
9,2020,"Connecticut",NA,379,731,NA,155,370
10,2008,"Delaware",NA,550,456,NA,476,362
10,2009,"Delaware",185,560,471,24,478,360
10,2010,"Delaware",509,437,382,27,374,316
10,2011,"Delaware",590,370,340,22,320,273
10,2012,"Delaware",690,280,279,12,228,206
10,2013,"Delaware",615,236,238,10,202,166
10,2014,"Delaware",369,148,190,5,115,125
10,2015,"Delaware",137,182,180,1,138,130
10,2016,"Delaware",84,51,62,NA,34,40
10,2017,"Delaware",10,110,120,7,51,63
10,2018,"Delaware",20,148,204,14,67,117
10,2019,"Delaware",55,153,239,6,88,151
10,2020,"Delaware",9,79,142,6,31,55
12,2008,"Florida",12492,3659,2981,8094,2852,1987
12,2009,"Florida",13099,3174,2939,8404,2327,1797
12,2010,"Florida",8992,2417,2115,5724,1727,1323
12,2011,"Florida",15133,3115,3133,7183,1601,1326
12,2012,"Florida",7682,1466,1467,4665,1007,852
12,2013,"Florida",4876,936,1064,3117,636,670
12,2014,"Florida",2442,498,535,1727,369,342
12,2015,"Florida",2550,372,462,1604,238,251
12,2016,"Florida",2684,458,430,1548,295,237
12,2017,"Florida",3197,636,686,1900,430,392
12,2018,"Florida",8169,2112,2455,2556,839,816
12,2019,"Florida",6548,1095,1236,684,272,352
12,2020,"Florida",3230,663,766,562,139,207
13,2008,"Georgia",2282,1047,1250,1272,289,279
13,2009,"Georgia",2224,1088,1487,1216,287,350
13,2010,"Georgia",2061,1105,1523,1137,272,322
13,2011,"Georgia",1749,1075,1423,904,263,322
13,2012,"Georgia",1472,1083,1564,670,254,347
13,2013,"Georgia",1239,1112,1654,496,247,390
13,2014,"Georgia",847,953,1663,320,269,428
13,2018,"Georgia",239,722,1231,83,197,313
13,2019,"Georgia",218,722,1163,85,210,288
13,2020,"Georgia",158,528,995,44,91,181
15,2008,"Hawaii",1453,90,98,154,42,66
15,2009,"Hawaii",1475,101,120,94,54,77
15,2010,"Hawaii",1498,91,108,89,44,67
15,2011,"Hawaii",1406,115,101,74,58,57
15,2012,"Hawaii",1426,117,116,84,57,78
15,2013,"Hawaii",1556,88,100,90,41,59
15,2014,"Hawaii",1356,73,91,46,27,57
15,2015,"Hawaii",1293,64,91,48,20,45
15,2016,"Hawaii",1159,51,64,29,11,35
15,2017,"Hawaii",907,36,49,37,10,31
15,2018,"Hawaii",224,12,13,16,2,5
15,2019,"Hawaii",260,9,10,30,1,6
15,2020,"Hawaii",107,12,6,30,2,3
16,2008,"Idaho",873,199,235,636,130,129
16,2009,"Idaho",788,276,242,610,205,178
16,2010,"Idaho",549,167,123,451,141,87
16,2011,"Idaho",567,224,173,466,181,150
16,2012,"Idaho",632,236,217,566,203,182
16,2013,"Idaho",508,161,99,454,146,87
16,2014,"Idaho",245,69,44,233,62,42
16,2015,"Idaho",181,65,42,175,59,39
16,2016,"Idaho",153,78,53,140,47,36
16,2017,"Idaho",120,58,46,114,27,22
16,2018,"Idaho",93,21,25,90,20,23
16,2019,"Idaho",68,13,13,67,11,11
17,2008,"Illinois",6346,2781,2429,3664,1792,1642
17,2009,"Illinois",5865,2776,2320,3308,1808,1550
17,2010,"Illinois",6385,3155,2791,3736,2115,1912
17,2011,"Illinois",5210,2412,2032,2868,1636,1418
17,2012,"Illinois",2864,1519,1242,1575,1030,848
17,2013,"Illinois",2612,1450,1396,1481,1048,975
17,2014,"Illinois",1838,1125,1110,1078,777,801
17,2015,"Illinois",1057,716,788,603,493,569
17,2016,"Illinois",699,467,459,436,320,342
17,2017,"Illinois",1514,1170,1236,1028,846,890
17,2018,"Illinois",1776,1297,1578,1189,950,1209
17,2019,"Illinois",1560,1108,1504,960,875,1171
17,2020,"Illinois",927,704,845,553,526,616
18,2008,"Indiana",510,889,1113,343,665,771
18,2009,"Indiana",445,804,936,305,574,654
18,2010,"Indiana",566,1039,1271,350,717,817
18,2011,"Indiana",500,969,1235,360,651,787
18,2012,"Indiana",510,830,1084,332,574,688
18,2013,"Indiana",750,797,1215,476,513,759
18,2014,"Indiana",837,704,1078,496,445,678
18,2015,"Indiana",517,599,896,291,370,541
18,2016,"Indiana",489,553,878,283,370,523
18,2017,"Indiana",452,656,979,232,393,570
18,2018,"Indiana",459,778,1285,234,537,846
18,2019,"Indiana",444,558,827,171,348,499
18,2020,"Indiana",350,432,719,98,183,312
19,2008,"Iowa",1757,1268,1138,807,865,712
19,2009,"Iowa",1992,1680,1391,951,1134,857
19,2010,"Iowa",2307,1890,1668,1044,1244,1025
19,2011,"Iowa",1836,1622,1538,845,1184,1082
19,2012,"Iowa",1994,1508,1496,957,1039,967
19,2013,"Iowa",2105,1408,1473,1211,952,915
19,2014,"Iowa",1922,1258,1342,1134,853,892
19,2015,"Iowa",1802,1208,1356,1014,850,912
19,2016,"Iowa",1557,1193,1227,903,836,808
19,2017,"Iowa",1429,1109,1162,821,794,760
19,2018,"Iowa",1444,1034,1117,822,699,722
19,2019,"Iowa",1356,923,973,707,683,644
19,2020,"Iowa",1034,632,757,561,414,484
20,2008,"Kansas",1618,703,694,967,506,455
20,2009,"Kansas",2022,882,866,1163,669,584
20,2010,"Kansas",1583,714,724,846,532,505
20,2011,"Kansas",1540,684,650,849,512,466
20,2012,"Kansas",1437,579,626,785,405,443
20,2013,"Kansas",1134,557,518,601,378,363
20,2014,"Kansas",778,168,198,366,121,144
20,2016,"Kansas",876,439,465,429,316,322
20,2017,"Kansas",776,415,435,348,313,314
20,2018,"Kansas",671,385,382,316,263,260
20,2019,"Kansas",366,236,276,109,128,126
20,2020,"Kansas",398,193,217,113,104,112
21,2008,"Kentucky",648,481,749,275,246,390
21,2009,"Kentucky",642,459,741,276,212,357
21,2010,"Kentucky",515,429,694,154,205,351
21,2011,"Kentucky",272,306,548,98,141,286
21,2012,"Kentucky",183,248,370,71,122,178
21,2013,"Kentucky",154,230,387,59,107,186
21,2014,"Kentucky",253,227,390,92,81,175
21,2015,"Kentucky",376,215,355,110,100,155
21,2016,"Kentucky",442,224,444,122,94,164
21,2017,"Kentucky",348,251,405,95,89,124
21,2018,"Kentucky",343,232,392,84,106,150
21,2019,"Kentucky",347,263,427,93,119,197
21,2020,"Kentucky",118,175,336,28,66,127
22,2008,"Louisiana",1417,892,1085,900,579,668
22,2009,"Louisiana",1524,875,1257,1003,553,810
22,2010,"Louisiana",1557,819,1130,984,503,650
22,2011,"Louisiana",1268,655,1005,888,415,554
22,2012,"Louisiana",629,241,416,480,119,168
22,2013,"Louisiana",477,139,295,358,74,136
22,2014,"Louisiana",434,126,203,330,68,98
22,2015,"Louisiana",480,79,101,347,32,47
22,2016,"Louisiana",85,68,106,36,23,29
22,2017,"Louisiana",326,114,205,207,38,45
22,2018,"Louisiana",332,99,169,208,22,33
22,2019,"Louisiana",331,139,219,174,22,50
22,2020,"Louisiana",227,131,182,101,39,25
23,2008,"Maine",379,193,179,163,73,85
23,2009,"Maine",377,174,174,139,83,88
23,2010,"Maine",348,164,128,114,53,60
23,2011,"Maine",361,169,159,105,75,60
23,2012,"Maine",343,139,119,102,39,43
23,2013,"Maine",361,105,105,116,36,43
23,2014,"Maine",252,96,120,87,47,63
23,2015,"Maine",255,93,88,82,41,44
23,2016,"Maine",215,63,53,54,24,26
23,2017,"Maine",193,44,35,59,17,15
23,2018,"Maine",152,31,34,40,19,15
23,2019,"Maine",68,22,31,29,10,16
23,2020,"Maine",33,11,25,16,7,8
24,2008,"Maryland",3965,2285,1669,2347,1462,1111
24,2009,"Maryland",4104,2293,1815,2405,1463,1247
24,2010,"Maryland",2509,1460,1094,1345,866,731
24,2011,"Maryland",4857,2713,2056,2539,1586,1362
24,2012,"Maryland",4690,2466,1912,2476,1289,1121
24,2013,"Maryland",3673,1689,1508,1975,1071,978
24,2014,"Maryland",2497,1213,1194,1286,755,739
24,2015,"Maryland",2485,1027,1110,1208,500,477
24,2016,"Maryland",1785,801,970,868,389,442
24,2017,"Maryland",1848,973,1283,894,454,544
24,2018,"Maryland",1447,990,1177,774,474,489
24,2019,"Maryland",853,540,814,449,254,381
25,2008,"Massachusetts",780,661,612,333,390,335
25,2009,"Massachusetts",668,503,574,272,276,307
25,2010,"Massachusetts",747,491,610,224,276,352
25,2011,"Massachusetts",710,458,566,171,241,304
25,2012,"Massachusetts",826,440,568,203,225,332
25,2013,"Massachusetts",658,400,579,149,219,319
25,2014,"Massachusetts",517,326,514,119,167,277
25,2015,"Massachusetts",873,396,568,200,198,358
25,2016,"Massachusetts",777,301,383,139,97,189
25,2017,"Massachusetts",725,308,336,113,105,177
25,2018,"Massachusetts",565,168,223,95,50,114
25,2019,"Massachusetts",446,192,269,41,69,148
25,2020,"Massachusetts",287,124,141,16,35,60
26,2008,"Michigan",2145,1965,2066,1002,1156,1106
26,2009,"Michigan",2460,2000,1990,1082,1108,1031
26,2010,"Michigan",2327,2046,1918,980,1118,929
26,2011,"Michigan",1959,1630,1797,883,854,881
26,2012,"Michigan",1949,1359,1608,825,796,864
26,2013,"Michigan",1912,1300,1588,880,793,865
26,2014,"Michigan",1623,1206,1615,767,700,879
26,2015,"Michigan",1094,785,1092,549,505,588
26,2016,"Michigan",1162,956,1245,586,576,641
26,2017,"Michigan",1136,876,1123,542,532,587
26,2018,"Michigan",943,816,949,404,448,488
26,2019,"Michigan",876,446,635,344,225,298
26,2020,"Michigan",462,292,435,202,133,218
27,2008,"Minnesota",2817,1546,1449,1022,614,621
27,2009,"Minnesota",3157,1755,1660,1194,728,790
27,2010,"Minnesota",3176,1611,1623,1206,683,794
27,2011,"Minnesota",3111,1506,1610,1087,560,744
27,2012,"Minnesota",3197,1447,1512,1222,555,689
27,2013,"Minnesota",2840,1347,1609,1137,547,755
27,2014,"Minnesota",2502,1223,1468,895,482,696
27,2015,"Minnesota",2433,1138,1446,835,455,758
27,2016,"Minnesota",2411,1112,1360,929,478,682
27,2017,"Minnesota",2171,1219,1332,811,502,702
27,2018,"Minnesota",2048,1160,1275,820,534,650
27,2019,"Minnesota",1819,992,1184,617,439,571
27,2020,"Minnesota",1209,622,801,374,215,309
28,2008,"Mississippi",96,108,188,51,50,107
28,2013,"Mississippi",90,125,227,59,55,124
28,2014,"Mississippi",84,110,224,46,52,131
28,2015,"Mississippi",146,130,190,56,51,90
28,2016,"Mississippi",277,153,283,98,65,115
28,2017,"Mississippi",158,170,246,69,54,113
28,2018,"Mississippi",112,109,199,68,42,92
28,2019,"Mississippi",81,106,174,51,33,41
28,2020,"Mississippi",103,116,202,60,38,80
29,2008,"Missouri",2306,1434,2551,1449,1058,1983
29,2009,"Missouri",2393,1550,2684,1568,1121,2075
29,2010,"Missouri",2338,1337,2246,1511,891,1672
29,2011,"Missouri",2307,1035,1785,1444,663,1302
29,2012,"Missouri",2274,987,1745,1287,576,1139
29,2013,"Missouri",1833,684,1369,922,373,852
29,2014,"Missouri",1698,609,1342,888,300,752
29,2015,"Missouri",1651,457,1084,773,216,603
29,2016,"Missouri",1760,441,976,861,205,533
29,2017,"Missouri",1536,379,773,683,181,403
29,2018,"Missouri",1521,399,784,615,183,430
29,2019,"Missouri",1436,326,561,579,135,262
