"STFIPS","YEAR","statename","Nad","Nyy","Noy","Nadcj","Nyycj","Noycj"
29,2020,"Missouri",924,166,373,330,68,189
30,2008,"Montana",422,246,205,220,161,160
30,2009,"Montana",371,204,225,223,149,165
30,2010,"Montana",422,201,271,214,138,223
30,2011,"Montana",466,218,319,230,140,269
30,2012,"Montana",359,216,264,193,152,209
30,2013,"Montana",339,160,236,197,100,163
30,2014,"Montana",350,122,154,182,82,105
30,2015,"Montana",341,119,142,184,64,97
30,2016,"Montana",300,101,118,117,49,80
30,2017,"Montana",121,38,52,37,21,33
30,2018,"Montana",11,15,24,7,11,19
30,2019,"Montana",4,10,12,3,8,9
30,2020,"Montana",6,5,7,4,3,6
31,2008,"Nebraska",37,181,265,10,95,122
31,2009,"Nebraska",26,160,272,8,78,131
31,2010,"Nebraska",19,186,243,9,102,109
31,2011,"Nebraska",74,197,280,21,103,121
31,2012,"Nebraska",80,206,323,28,112,154
31,2013,"Nebraska",74,188,322,39,125,166
31,2014,"Nebraska",63,155,263,36,107,157
31,2015,"Nebraska",93,214,337,59,148,177
31,2016,"Nebraska",68,208,338,28,161,191
31,2017,"Nebraska",23,180,262,13,124,163
31,2018,"Nebraska",23,208,262,12,138,144
31,2019,"Nebraska",24,142,240,12,101,142
31,2020,"Nebraska",20,119,145,10,77,103
32,2008,"Nevada",704,209,163,579,158,120
32,2009,"Nevada",664,209,212,521,140,146
32,2010,"Nevada",763,237,163,590,173,124
32,2011,"Nevada",793,259,241,637,184,171
32,2012,"Nevada",744,228,258,631,172,189
32,2013,"Nevada",731,215,173,619,170,122
32,2014,"Nevada",396,112,143,313,87,118
32,2015,"Nevada",184,89,128,159,70,99
32,2016,"Nevada",115,48,41,95,32,30
32,2017,"Nevada",157,61,76,134,44,56
32,2018,"Nevada",230,144,190,184,88,104
32,2019,"Nevada",308,146,142,229,66,45
32,2020,"Nevada",203,52,69,165,31,38
33,2008,"New Hampshire",196,164,155,93,91,101
33,2009,"New Hampshire",187,156,160,78,93,96
33,2010,"New Hampshire",214,146,131,78,77,85
33,2011,"New Hampshire",163,91,101,67,51,58
33,2012,"New Hampshire",156,88,67,61,52,47
33,2013,"New Hampshire",119,93,73,56,46,39
33,2014,"New Hampshire",120,48,62,51,17,26
33,2015,"New Hampshire",102,35,29,44,5,14
33,2016,"New Hampshire",76,29,25,49,7,11
33,2017,"New Hampshire",42,20,23,13,6,9
33,2018,"New Hampshire",12,6,16,5,4,8
33,2019,"New Hampshire",NA,5,12,NA,1,7
33,2020,"New Hampshire",NA,4,11,NA,3,7
34,2008,"New Jersey",2516,1798,1873,1300,1097,1200
34,2009,"New Jersey",2735,1843,2169,1346,1102,1333
34,2010,"New Jersey",2778,1790,2188,1252,1006,1313
34,2011,"New Jersey",2884,1738,2269,1285,917,1334
34,2012,"New Jersey",2906,1701,2282,1301,913,1373
34,2013,"New Jersey",2201,1556,2386,886,816,1369
34,2014,"New Jersey",1201,1163,1989,432,632,1164
34,2015,"New Jersey",1466,1298,2111,575,771,1339
34,2016,"New Jersey",1301,1411,2211,477,811,1431
34,2017,"New Jersey",1036,1294,2223,421,736,1486
34,2018,"New Jersey",969,1255,2070,326,758,1316
34,2019,"New Jersey",1041,1136,1927,281,624,1277
34,2020,"New Jersey",561,736,1333,161,359,747
35,2008,"New Mexico",3,132,188,1,66,97
35,2009,"New Mexico",5,94,159,NA,46,76
35,2010,"New Mexico",9,74,108,NA,27,41
35,2011,"New Mexico",21,104,153,3,39,38
35,2012,"New Mexico",37,53,80,1,16,25
35,2013,"New Mexico",49,45,75,5,13,20
35,2014,"New Mexico",48,39,65,5,5,21
35,2015,"New Mexico",37,48,37,2,6,17
35,2016,"New Mexico",15,21,30,1,4,5
35,2017,"New Mexico",NA,13,21,NA,7,3
35,2018,"New Mexico",3,28,12,1,9,2
35,2019,"New Mexico",1,15,12,NA,6,4
36,2008,"New York",9099,7967,8999,4278,5163,5888
36,2009,"New York",9277,8432,9390,4030,5071,5644
36,2010,"New York",9445,8477,9989,3414,4374,5085
36,2011,"New York",8769,7080,9290,3203,3502,4482
36,2012,"New York",7916,6429,8485,2756,3103,4070
36,2013,"New York",7215,5842,8554,2530,2912,4229
36,2014,"New York",6382,5329,7686,2216,2681,3812
36,2015,"New York",5626,4700,6962,1749,2271,3281
36,2016,"New York",4859,4270,6415,1707,2330,3411
36,2017,"New York",4466,4074,6026,1641,2299,3445
36,2018,"New York",3979,3633,5489,1358,2040,3211
36,2019,"New York",3722,2829,4504,1121,1567,2703
36,2020,"New York",2505,1766,2936,697,840,1628
37,2008,"North Carolina",1031,1580,1970,605,1197,1380
37,2009,"North Carolina",1088,2085,2644,596,1628,1874
37,2010,"North Carolina",1232,2074,2999,664,1481,1965
37,2011,"North Carolina",1245,2070,2996,686,1470,1887
37,2012,"North Carolina",1069,2017,3156,686,1579,2275
37,2013,"North Carolina",906,2209,3343,500,1722,2489
37,2014,"North Carolina",586,1764,2812,382,1483,2201
37,2015,"North Carolina",472,1560,2682,288,1286,2075
37,2016,"North Carolina",678,1751,3318,321,1336,2247
37,2017,"North Carolina",708,2120,3690,414,1744,2623
37,2018,"North Carolina",404,1423,2501,255,1184,1900
37,2019,"North Carolina",331,1248,2258,198,1005,1650
37,2020,"North Carolina",127,619,1305,78,486,909
38,2008,"North Dakota",192,103,132,122,72,82
38,2009,"North Dakota",217,123,124,129,82,85
38,2010,"North Dakota",258,121,137,158,80,91
38,2011,"North Dakota",163,86,86,102,58,59
38,2012,"North Dakota",242,121,122,152,92,89
38,2013,"North Dakota",218,109,123,130,71,76
38,2014,"North Dakota",221,105,160,153,88,96
38,2015,"North Dakota",184,88,122,139,65,76
38,2016,"North Dakota",312,175,215,215,135,131
38,2017,"North Dakota",237,112,125,174,59,58
38,2018,"North Dakota",162,50,44,109,28,20
38,2019,"North Dakota",52,22,33,29,11,18
38,2020,"North Dakota",37,12,24,12,5,5
39,2008,"Ohio",5985,3419,3907,3691,2279,2239
39,2009,"Ohio",6597,4103,4593,3953,2832,2794
39,2010,"Ohio",5229,3232,3665,3072,2145,2235
39,2011,"Ohio",5119,2950,3387,3086,2085,2102
39,2012,"Ohio",3351,2027,2520,2064,1480,1716
39,2013,"Ohio",2400,1531,2019,1452,1091,1372
39,2014,"Ohio",1570,902,1367,998,634,918
39,2015,"Ohio",1399,883,1305,908,620,887
39,2016,"Ohio",1206,864,1168,805,610,800
39,2017,"Ohio",1508,994,1421,926,688,967
39,2018,"Ohio",996,792,1203,617,553,808
39,2019,"Ohio",528,376,602,299,240,378
39,2020,"Ohio",409,342,582,218,215,335
40,2008,"Oklahoma",842,352,690,452,171,346
40,2009,"Oklahoma",776,487,657,417,249,323
40,2010,"Oklahoma",665,342,496,353,160,237
40,2011,"Oklahoma",633,301,470,356,152,255
40,2012,"Oklahoma",579,267,423,331,127,188
40,2013,"Oklahoma",503,256,401,277,128,181
40,2014,"Oklahoma",566,233,431,266,111,207
40,2015,"Oklahoma",521,236,466,263,94,184
40,2016,"Oklahoma",474,197,420,263,84,166
40,2017,"Oklahoma",370,215,411,183,84,149
40,2018,"Oklahoma",308,224,390,160,76,117
40,2019,"Oklahoma",284,152,262,121,35,64
40,2020,"Oklahoma",216,107,214,47,15,31
41,2008,"Oregon",3152,1087,1227,1715,721,867
41,2009,"Oregon",3466,1151,1240,1874,781,773
41,2010,"Oregon",3618,1166,1142,1813,781,731
41,2011,"Oregon",3901,1021,1197,1998,665,786
41,2012,"Oregon",3329,946,986,1804,640,634
41,2013,"Oregon",2602,745,845,1501,529,582
41,2014,"Oregon",1458,307,474,786,185,287
42,2008,"Pennsylvania",3296,1973,2244,1339,1073,1317
42,2009,"Pennsylvania",2553,1855,2074,1078,974,1232
42,2010,"Pennsylvania",2426,1756,1979,998,916,1212
42,2011,"Pennsylvania",2194,1384,1581,834,718,915
42,2014,"Pennsylvania",786,594,1164,209,268,586
42,2016,"Pennsylvania",565,353,546,175,191,305
42,2017,"Pennsylvania",716,462,738,219,251,413
42,2018,"Pennsylvania",692,520,777,216,310,507
42,2019,"Pennsylvania",718,505,734,240,305,497
42,2020,"Pennsylvania",388,315,458,134,206,309
44,2008,"Rhode Island",540,231,340,207,140,215
44,2009,"Rhode Island",573,286,359,233,168,206
44,2010,"Rhode Island",395,248,309,227,147,186
44,2011,"Rhode Island",414,213,298,205,140,190
44,2012,"Rhode Island",280,193,262,166,116,160
44,2013,"Rhode Island",316,160,220,143,90,135
44,2014,"Rhode Island",254,120,174,115,67,102
44,2015,"Rhode Island",187,108,173,83,57,108
44,2016,"Rhode Island",196,87,182,66,46,106
44,2017,"Rhode Island",127,99,128,57,51,64
44,2018,"Rhode Island",110,81,151,54,48,97
44,2019,"Rhode Island",111,61,125,33,30,80
44,2020,"Rhode Island",99,72,82,39,26,39
45,2008,"South Carolina",2529,814,868,1496,448,380
45,2009,"South Carolina",2554,863,993,1514,490,442
45,2010,"South Carolina",2454,794,923,1451,433,420
45,2011,"South Carolina",2075,674,755,1236,313,295
45,2012,"South Carolina",2385,659,843,1435,323,386
45,2013,"South Carolina",1966,482,683,1177,241,264
45,2016,"South Carolina",1381,525,799,783,235,284
45,2017,"South Carolina",1683,538,789,1003,238,258
45,2018,"South Carolina",2042,771,1079,1128,365,418
45,2019,"South Carolina",1925,710,976,982,298,351
45,2020,"South Carolina",1213,497,694,675,193,182
46,2008,"South Dakota",868,321,339,617,218,270
46,2009,"South Dakota",783,333,349,566,225,286
46,2010,"South Dakota",721,301,337,535,200,247
46,2011,"South Dakota",772,311,390,515,215,300
46,2012,"South Dakota",697,337,370,464,228,289
46,2013,"South Dakota",648,289,310,427,176,203
46,2014,"South Dakota",610,237,302,372,139,201
46,2015,"South Dakota",562,247,277,314,154,190
46,2016,"South Dakota",375,234,252,199,157,183
46,2017,"South Dakota",329,231,255,154,163,208
46,2018,"South Dakota",390,232,297,180,149,253
46,2019,"South Dakota",411,196,283,199,130,228
46,2020,"South Dakota",297,123,188,154,82,152
47,2008,"Tennessee",949,131,170,359,56,87
47,2009,"Tennessee",933,162,205,416,88,106
47,2010,"Tennessee",817,169,261,411,103,163
47,2011,"Tennessee",718,200,369,374,126,259
47,2012,"Tennessee",703,211,355,368,152,252
47,2013,"Tennessee",681,183,457,377,133,329
47,2014,"Tennessee",623,184,378,333,124,298
47,2015,"Tennessee",546,169,363,267,112,275
47,2016,"Tennessee",513,175,314,280,120,239
47,2017,"Tennessee",510,177,293,334,131,228
47,2018,"Tennessee",563,195,390,396,128,275
47,2019,"Tennessee",525,151,342,269,105,234
47,2020,"Tennessee",394,128,270,182,83,158
48,2008,"Texas",5186,1262,1624,3891,797,818
48,2009,"Texas",5344,1363,1681,4004,783,847
48,2010,"Texas",4754,1360,1685,3374,798,924
48,2011,"Texas",4606,1171,1544,3528,683,788
48,2012,"Texas",3808,1029,1490,2967,625,850
48,2013,"Texas",3126,956,1380,2477,595,700
48,2014,"Texas",3544,882,1386,2675,502,676
48,2015,"Texas",2632,750,1228,2156,427,613
48,2016,"Texas",2645,673,1233,2130,381,651
48,2017,"Texas",2984,839,1450,2282,523,799
48,2018,"Texas",3230,740,1376,2382,450,767
48,2019,"Texas",3037,638,1211,2206,397,712
48,2020,"Texas",1792,446,981,1284,246,490
49,2008,"Utah",911,340,356,732,297,295
49,2009,"Utah",950,402,333,754,340,253
49,2010,"Utah",1021,365,331,785,307,246
49,2011,"Utah",1006,301,303,788,231,208
49,2012,"Utah",960,312,264,719,227,171
49,2013,"Utah",1006,255,260,705,168,185
49,2014,"Utah",990,219,212,784,155,144
49,2015,"Utah",815,210,174,617,152,121
49,2016,"Utah",667,219,202,437,157,154
49,2017,"Utah",643,202,217,478,149,146
49,2018,"Utah",504,315,303,356,232,227
49,2019,"Utah",566,314,268,364,265,212
49,2020,"Utah",421,243,197,292,178,146
50,2008,"Vermont",378,277,195,99,126,99
50,2009,"Vermont",402,273,198,95,133,100
50,2010,"Vermont",402,318,197,87,164,100
50,2011,"Vermont",378,257,186,57,113,92
50,2012,"Vermont",349,240,191,66,117,106
50,2013,"Vermont",344,221,198,48,108,113
50,2014,"Vermont",355,235,169,54,116,87
50,2015,"Vermont",304,207,151,56,97,72
50,2016,"Vermont",280,169,147,36,71,55
50,2017,"Vermont",286,156,140,50,68,63
50,2018,"Vermont",271,114,138,31,43,48
50,2019,"Vermont",178,104,106,13,26,42
50,2020,"Vermont",47,43,58,9,15,14
51,2008,"Virginia",1407,1054,1251,630,581,652
51,2009,"Virginia",1450,1044,1244,651,622,711
51,2010,"Virginia",1320,941,1156,586,595,689
51,2011,"Virginia",1556,988,1182,580,580,699
51,2012,"Virginia",1515,911,1165,737,498,649
51,2013,"Virginia",1163,787,1076,607,466,585
51,2014,"Virginia",962,754,1041,547,433,596
51,2015,"Virginia",831,615,805,438,332,445
51,2016,"Virginia",671,542,781,335,285,397
51,2017,"Virginia",681,536,700,322,282,353
51,2018,"Virginia",525,512,731,251,274,356
51,2019,"Virginia",484,486,718,219,280,347
51,2020,"Virginia",276,291,515,80,104,226
53,2008,"Washington",3744,1010,977,1788,607,635
53,2009,"Washington",3913,1031,1043,1759,620,602
53,2010,"Washington",3986,1022,931,1572,581,535
53,2011,"Washington",4285,1018,845,1511,543,473
53,2012,"Washington",4110,791,779,1560,395,459
53,2013,"Washington",3953,670,707,1474,371,395
53,2014,"Washington",3595,584,663,1349,311,410
53,2015,"Washington",3056,596,587,1247,340,357
53,2016,"Washington",4275,995,1501,736,327,430
53,2017,"Washington",2370,875,928,417,271,206
54,2008,"West Virginia",452,232,322,86,43,65
54,2009,"West Virginia",253,145,190,42,31,37
54,2010,"West Virginia",114,79,72,22,16,8
54,2011,"West Virginia",81,43,55,6,4,4
54,2013,"West Virginia",78,31,45,5,NA,1
54,2014,"West Virginia",92,51,65,27,7,8
54,2015,"West Virginia",77,46,58,17,11,9
54,2016,"West Virginia",64,47,71,1,NA,NA
54,2017,"West Virginia",37,41,49,NA,NA,NA
54,2018,"West Virginia",19,18,39,5,5,12
54,2019,"West Virginia",3,16,26,NA,11,11
54,2020,"West Virginia",NA,7,12,NA,4,3
55,2008,"Wisconsin",366,512,536,100,338,345
55,2009,"Wisconsin",269,501,621,51,339,410
55,2010,"Wisconsin",279,455,626,71,312,439
55,2011,"Wisconsin",294,417,592,44,279,403
55,2012,"Wisconsin",353,380,480,68,252,313
55,2013,"Wisconsin",345,368,565,76,242,365
55,2014,"Wisconsin",291,260,401,75,180,290
55,2015,"Wisconsin",282,217,315,70,140,213
55,2016,"Wisconsin",304,240,347,76,135,219
55,2017,"Wisconsin",275,234,404,73,145,225
55,2018,"Wisconsin",264,317,393,83,194,256
55,2019,"Wisconsin",259,214,435,50,139,277
55,2020,"Wisconsin",182,129,234,49,78,146
56,2008,"Wyoming",322,170,152,126,118,95
56,2009,"Wyoming",310,196,183,147,135,130
56,2010,"Wyoming",250,206,159,123,145,127
56,2011,"Wyoming",308,224,162,167,170,111
56,2012,"Wyoming",275,218,177,172,161,118
56,2013,"Wyoming",260,205,181,174,153,122
56,2014,"Wyoming",246,166,184,125,112,121
56,2015,"Wyoming",236,172,155,144,131,111
56,2016,"Wyoming",182,164,183,104,116,123
56,2017,"Wyoming",166,146,130,102,87,90
56,2018,"Wyoming",153,133,156,77,74,98
56,2019,"Wyoming",159,119,123,86,62,79
56,2020,"Wyoming",77,59,84,40,37,52
